               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.033668,               0.012,           0.0022347,             0.78276,             0.74664,              0.7906,             0.44103,            0.028269,           0.0096953,           0.0019039,            0.003367,            0.003367,            0.003367
                  69,            0.033696,            0.011954,           0.0022311,             0.78549,             0.74518,             0.79107,             0.44133,            0.028261,           0.0096971,           0.0019095,            0.003268,            0.003268,            0.003268
                  70,            0.033569,            0.011832,           0.0020944,             0.78661,             0.74446,             0.79096,             0.44207,            0.028258,           0.0096961,           0.0019104,            0.003169,            0.003169,            0.003169
                  71,            0.033282,            0.011827,           0.0021052,             0.78758,             0.74506,             0.79216,             0.44187,            0.028257,            0.009697,           0.0019128,             0.00307,             0.00307,             0.00307
                  72,            0.032937,            0.011798,           0.0019259,             0.78678,             0.74458,             0.79163,              0.4418,            0.028258,           0.0096986,           0.0019169,            0.002971,            0.002971,            0.002971
                  73,             0.03281,            0.011745,           0.0020094,             0.78834,              0.7465,             0.79225,             0.44188,            0.028264,           0.0096999,           0.0019194,            0.002872,            0.002872,            0.002872
                  74,            0.032779,            0.011698,           0.0019447,             0.79131,              0.7442,             0.79255,             0.44176,            0.028268,           0.0097021,            0.001928,            0.002773,            0.002773,            0.002773
                  75,            0.032586,              0.0116,           0.0019648,             0.78724,             0.74815,              0.7924,             0.44187,            0.028274,           0.0097053,           0.0019332,            0.002674,            0.002674,            0.002674
                  76,            0.032473,            0.011479,           0.0019589,             0.78582,             0.74873,             0.79158,             0.44178,            0.028283,           0.0097088,           0.0019394,            0.002575,            0.002575,            0.002575
                  77,            0.032376,            0.011445,           0.0020349,             0.78837,              0.7462,             0.79172,             0.44189,            0.028289,           0.0097115,           0.0019422,            0.002476,            0.002476,            0.002476
                  78,            0.031938,             0.01143,           0.0018959,             0.79061,             0.74471,             0.79194,              0.4422,            0.028291,           0.0097152,           0.0019454,            0.002377,            0.002377,            0.002377
                  79,            0.031807,            0.011391,           0.0019719,              0.7896,             0.74623,             0.79181,             0.44234,            0.028297,            0.009718,           0.0019461,            0.002278,            0.002278,            0.002278
                  80,            0.031617,            0.011196,           0.0018254,             0.78995,             0.74649,             0.79113,              0.4421,            0.028303,           0.0097225,           0.0019485,            0.002179,            0.002179,            0.002179
                  81,            0.031409,            0.011219,           0.0018271,             0.78963,             0.74698,              0.7918,             0.44238,            0.028307,           0.0097275,           0.0019495,             0.00208,             0.00208,             0.00208
                  82,            0.031329,            0.011268,            0.001856,             0.78791,             0.74676,             0.79164,             0.44221,            0.028312,           0.0097318,           0.0019515,            0.001981,            0.001981,            0.001981
                  83,             0.03126,            0.011195,           0.0018499,             0.79054,             0.74428,             0.79173,             0.44267,            0.028315,           0.0097363,           0.0019534,            0.001882,            0.001882,            0.001882
